prompt_tokens,output_tokens,repeat,ttft_ms,decode_total_ms,tpot_ms,tokens_per_second,total_latency_ms,model_vram_gib,memory_before_prefill_gib,memory_after_prefill_gib,prefill_memory_delta_gib,peak_vram_gib
128,32,1,66.70320000011998,1124.3089000004147,36.26802903227144,27.572493644752402,1191.0121000005347,7.545305252075195,7.553240776062012,7.60792875289917,0.0546879768371582,7.615025043487549
128,32,2,47.953400000096735,1181.083200001467,38.09945806456346,26.247092499462777,1229.0366000015638,7.545305252075195,7.553240776062012,7.60792875289917,0.0546879768371582,7.615025043487549
128,32,3,46.76969999991343,1116.0468000007313,36.00150967744294,27.776612952055135,1162.8165000006447,7.545305252075195,7.553240776062012,7.60792875289917,0.0546879768371582,7.615025043487549
128,128,1,47.22399999991467,4523.779400000876,35.620310236227375,28.073871152951313,4571.003400000791,7.545305252075195,7.553240776062012,7.60792875289917,0.0546879768371582,7.615025043487549
128,128,2,46.247499999935826,4394.507000003159,34.60241732285952,28.899715030584478,4440.754500003095,7.545305252075195,7.553240776062012,7.60792875289917,0.0546879768371582,7.615025043487549
128,128,3,57.31640000021798,4868.702000000212,38.33623622047411,26.0849811715719,4926.01840000043,7.545305252075195,7.553240776062012,7.60792875289917,0.0546879768371582,7.615025043487549
512,32,1,103.14569999991363,1095.0875000007727,35.32540322583138,28.308240209095732,1198.2332000006863,7.545305252075195,7.553243637084961,7.768454074859619,0.2152104377746582,7.801284313201904
512,32,2,93.27000000030239,1078.8495999995575,34.801599999985726,28.73431106616966,1172.11959999986,7.545305252075195,7.553243637084961,7.768454074859619,0.2152104377746582,7.801284313201904
512,32,3,93.91310000000885,1074.4330999987142,34.659132258023035,28.852424594920894,1168.346199998723,7.545305252075195,7.553243637084961,7.768454074859619,0.2152104377746582,7.801284313201904
512,128,1,93.4277999999722,4477.835800000776,35.258549606305316,28.36191536991553,4571.263600000748,7.545305252075195,7.553243637084961,7.768454074859619,0.2152104377746582,7.801284313201904
512,128,2,93.90799999982846,4231.131899995489,33.31599921256291,30.015608825651448,4325.039899995318,7.545305252075195,7.553243637084961,7.768454074859619,0.2152104377746582,7.801284313201904
512,128,3,93.65329999991445,4285.71120000106,33.74575748032331,29.63335466934136,4379.364500000975,7.545305252075195,7.553243637084961,7.768454074859619,0.2152104377746582,7.801284313201904
1024,32,1,217.6198000001932,1133.1111000013152,36.551970967784364,27.358305818347397,1350.7309000015084,7.545305252075195,7.553247451782227,8.001123905181885,0.4478764533996582,8.089785099029541
1024,32,2,217.3971000001984,1270.1419000004535,40.97231935485333,24.406721800130313,1487.5390000006519,7.545305252075195,7.553247451782227,8.001123905181885,0.4478764533996582,8.089785099029541
1024,32,3,217.7956999998969,1160.5265999983203,37.43634193542969,26.712011598911104,1378.3222999982172,7.545305252075195,7.553247451782227,8.001123905181885,0.4478764533996582,8.089785099029541
1024,128,1,217.52849999984392,5451.399500001571,42.924405511823394,23.296769939528996,5668.928000001415,7.545305252075195,7.553247451782227,8.001123905181885,0.4478764533996582,8.089785099029541
1024,128,2,223.23420000020633,5073.289199998271,39.9471590551045,25.033069275854267,5296.5233999984775,7.545305252075195,7.553247451782227,8.001123905181885,0.4478764533996582,8.089785099029541
1024,128,3,217.43560000004436,5147.449800001596,40.53110078741414,24.672411569698188,5364.88540000164,7.545305252075195,7.553247451782227,8.001123905181885,0.4478764533996582,8.089785099029541
2048,32,1,636.3627000000633,1124.4004000009227,36.27098064519105,27.57024988604999,1760.763100000986,7.545305252075195,7.553255081176758,8.414583683013916,0.8613286018371582,9.161730289459229
2048,32,2,635.7216000001245,1137.6211000001604,36.697454838714854,27.249846192194948,1773.3427000002848,7.545305252075195,7.553255081176758,8.414583683013916,0.8613286018371582,9.161730289459229
2048,32,3,636.3962999998876,1191.5527000005568,38.4371838709857,26.016474134954766,1827.9490000004444,7.545305252075195,7.553255081176758,8.414583683013916,0.8613286018371582,9.161730289459229
2048,128,1,638.6436000002504,5716.497599998547,45.01179212597281,22.216400475709513,6355.141199998798,7.545305252075195,7.553255081176758,8.414583683013916,0.8613286018371582,9.161730289459229
2048,128,2,635.8304000000317,4895.426399998996,38.54666456692123,25.942581835164766,5531.256799999028,7.545305252075195,7.553255081176758,8.414583683013916,0.8613286018371582,9.161730289459229
2048,128,3,636.3117999999304,5401.711899998645,42.533164566918465,23.51106507550539,6038.0236999985755,7.545305252075195,7.553255081176758,8.414583683013916,0.8613286018371582,9.161730289459229
