phase,prompt_tokens,decode_step,cache_tokens_before,cache_tokens_after,layer,latency_ms_mean,latency_ms_std,latency_ms_median,parameter_bytes,parameter_mib,activation_bytes,activation_mib,kv_cache_bytes,kv_cache_mib
decode,128,1.0,128,129,0,2.430352008342743,2.917726850149721,1.3687040209770203,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,1,1.4905088067054748,0.6818634833237863,1.1407359838485718,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,2,1.288697612285614,0.45022817003517135,1.1492159962654114,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,3,1.1929664134979248,0.29556868469627,1.0892320275306702,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,4,1.0192351996898652,0.20911660859449827,1.0006399750709534,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,5,1.2355647921562194,0.47672073045804886,1.0189279913902283,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,6,1.184230387210846,0.4539311271092778,1.0079679787158966,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,7,1.1869472086429596,0.45205199893858355,1.0337920188903809,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,8,1.1954880058765411,0.39913492683333146,1.0468800067901611,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,9,1.3217215895652772,0.421461207398097,1.1645439863204956,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,10,1.3944095730781556,0.6621965827324318,1.1192319989204407,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,11,1.1677632093429566,0.307066527592286,1.0553119778633118,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,12,1.4399680316448211,0.6306457000246178,1.1669760346412659,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,13,1.1715808093547821,0.4585273540323167,0.9724480211734772,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,14,1.1116735935211182,0.28378257845507154,0.9668799936771393,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,15,1.2877695977687835,0.6024702596381152,0.9573599994182587,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,16,1.2118847966194153,0.4133012033836621,0.98471999168396,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,17,1.2358911752700805,0.4438246095364349,1.0820479989051819,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,18,1.2547616064548492,0.580331706461869,1.0482400059700012,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,19,1.379168027639389,0.4043443289703427,1.2374080419540405,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,20,1.233459198474884,0.5339917760444362,1.0859839916229248,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,21,1.1248863995075227,0.3955448632162989,0.990911990404129,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,22,1.279878407716751,0.3673836692487009,1.1775360107421875,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,23,1.1605023980140685,0.4682176794577011,0.9826560020446777,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,24,1.2339008092880248,0.510395700837221,0.969296008348465,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
decode,128,1.0,128,129,25,1.2920448005199432,0.49376922628990183,1.0401439666748047,201861632,192.51025390625,5120.0,0.0048828125,528384.0,0.50390625
